QueryID Iteration Dok.Nummer Rang Score System
245 Q0 34654 1 17.97220075561143 group3
245 Q0 17557 2 15.165750888103101 group3
245 Q0 742 3 14.247806848775006 group3
245 Q0 33666 4 14.071247279470288 group3
245 Q0 22350 5 13.820274961085254 group3
245 Q0 28322 6 13.379088160259652 group3
245 Q0 29946 7 13.341664064126334 group3
245 Q0 38151 8 12.84523257866513 group3
245 Q0 10050 9 12.767145334803704 group3
245 Q0 1150 10 12.328828005937952 group3
245 Q0 23998 11 12.206555615733702 group3
245 Q0 21395 12 12.083045973594572 group3
245 Q0 98 13 12.0 group3
245 Q0 21170 14 11.832159566199232 group3
245 Q0 38313 15 11.789826122551595 group3
245 Q0 31147 16 11.74734012447073 group3
245 Q0 24318 17 11.661903789690601 group3
245 Q0 24554 18 11.661903789690601 group3
245 Q0 24440 19 11.575836902790225 group3
245 Q0 35875 20 11.575836902790225 group3
245 Q0 8977 21 11.532562594670797 group3
245 Q0 24142 22 11.445523142259598 group3
245 Q0 32572 23 11.445523142259598 group3
245 Q0 2663 24 11.269427669584644 group3
245 Q0 20682 25 11.269427669584644 group3
245 Q0 14114 26 11.224972160321824 group3
245 Q0 26225 27 11.224972160321824 group3
245 Q0 29742 28 11.224972160321824 group3
245 Q0 36429 29 11.180339887498949 group3
245 Q0 9242 30 11.135528725660043 group3
245 Q0 27328 31 11.045361017187261 group3
245 Q0 33281 32 11.045361017187261 group3
245 Q0 7091 33 11.0 group3
245 Q0 32762 34 10.908712114635714 group3
245 Q0 34295 35 10.908712114635714 group3
245 Q0 15808 36 10.816653826391969 group3
245 Q0 4826 37 10.770329614269007 group3
245 Q0 22625 38 10.770329614269007 group3
245 Q0 7252 39 10.723805294763608 group3
245 Q0 19830 40 10.723805294763608 group3
245 Q0 16619 41 10.677078252031311 group3
245 Q0 21604 42 10.677078252031311 group3
245 Q0 8596 43 10.63014581273465 group3
245 Q0 11550 44 10.63014581273465 group3
245 Q0 19000 45 10.63014581273465 group3
245 Q0 22683 46 10.63014581273465 group3
245 Q0 30040 47 10.63014581273465 group3
245 Q0 881 48 10.583005244258363 group3
245 Q0 2723 49 10.583005244258363 group3
245 Q0 37419 50 10.583005244258363 group3
891 Q0 10561 1 26.229754097208 group3
891 Q0 12519 2 16.881943016134134 group3
891 Q0 12159 3 15.524174696260024 group3
891 Q0 3660 4 15.362291495737216 group3
891 Q0 30033 5 15.362291495737216 group3
891 Q0 23282 6 15.165750888103101 group3
891 Q0 11393 7 14.2828568570857 group3
891 Q0 37834 8 14.212670403551895 group3
891 Q0 30795 9 13.892443989449804 group3
891 Q0 34194 10 13.674794331177344 group3
891 Q0 5473 11 13.2664991614216 group3
891 Q0 32820 12 13.0 group3
891 Q0 4024 13 12.922847983320086 group3
891 Q0 1081 14 12.84523257866513 group3
891 Q0 11181 15 12.529964086141668 group3
891 Q0 1804 16 12.489995996796797 group3
891 Q0 33969 17 12.489995996796797 group3
891 Q0 2940 18 12.083045973594572 group3
891 Q0 4041 19 12.083045973594572 group3
891 Q0 35358 20 11.874342087037917 group3
891 Q0 27081 21 11.832159566199232 group3
891 Q0 32007 22 11.832159566199232 group3
891 Q0 20913 23 11.789826122551595 group3
891 Q0 22337 24 11.704699910719626 group3
891 Q0 26512 25 11.704699910719626 group3
891 Q0 39289 26 11.704699910719626 group3
891 Q0 3506 27 11.61895003862225 group3
891 Q0 32372 28 11.575836902790225 group3
891 Q0 36100 29 11.532562594670797 group3
891 Q0 5034 30 11.40175425099138 group3
891 Q0 368 31 11.313708498984761 group3
891 Q0 27250 32 11.313708498984761 group3
891 Q0 32850 33 11.313708498984761 group3
891 Q0 34909 34 11.269427669584644 group3
891 Q0 8192 35 11.224972160321824 group3
891 Q0 14778 36 11.224972160321824 group3
891 Q0 3964 37 11.135528725660043 group3
891 Q0 8228 38 11.135528725660043 group3
891 Q0 2148 39 11.090536506409418 group3
891 Q0 14847 40 11.090536506409418 group3
891 Q0 5112 41 11.045361017187261 group3
891 Q0 28994 42 11.045361017187261 group3
891 Q0 18927 43 10.954451150103322 group3
